station_id,lat,lon,state,name
USW00000102,66.9831,-160.4331,AK,BOB BARKER MEMORIAL AP
USW00000103,65.6169,-168.1000,AK,WALES AP
USW00000111,64.3700,-161.2239,AK,SHAKTOOLIK AP
USW00000113,66.8181,-161.0219,AK,ROBERT CURTIS MEMORIAL AP
USW00000130,28.9500,-98.5169,TX,PLEASANTON MUNI AP
USW00000132,44.0331,-89.3000,WI,WAUTOMA MUNI AP
USW00000133,35.6000,-92.4500,AR,CLINTON MUNI AP
USW00000153,37.4000,-77.5169,VA,CHESTERFIELD CO AP
USW00000154,36.7831,-76.4500,VA,HAMPTON ROADS EXECUTIVE AP
USW00000157,40.7500,-106.2669,CO,WALDEN JACKSON COUNTY AP
USW00000160,40.0331,-105.2169,CO,BOULDER MUNI AP
USW00000166,30.5000,-97.9669,TX,LAGO VISTA RUSTY ALLEN AP
USW00000176,32.7169,-98.8919,TX,STEPHENS COUNTY AP
USW00000177,29.8500,-98.8500,TX,CASTROVILLE MUNI AIRPORT
USW00000209,33.6000,-97.7831,TX,BOWIE MUNI AP
USW00000225,30.5331,-98.3669,TX,HORSESHOE BAY RESORT AP
USW00000229,31.1061,-98.1961,TX,LAMPASAS AP
USW00000230,30.3950,-97.5669,TX,AUSTIN EXECUTIVE AP
USW00000263,29.7239,-98.6950,TX,BOERNE STAGE FIELD AP
USW00000270,28.2089,-100.0189,TX,FAITH RCH AP
USW00000349,32.3311,-102.5300,TX,ANDREWS COUNTY AP
USW00000351,30.8789,-96.9711,TX,CAMERON MUNI AP
USW00000357,31.6661,-98.1489,TX,HAMILTON MUNI AP
USW00000362,31.4169,-97.8000,TX,GATESVILLE MUNI AP
USW00000369,33.2861,-117.4561,CA,MCOLF CAMP PENDLETON RED BEACH
USW00000373,33.6169,-92.7669,AR,HARRELL FIELD AP
USW00000393,65.2331,-166.3500,AK,TELLER AP
USW00000428,34.0997,-93.0661,AR,DEXTER B FLORENCE MEM FLD AP
USW00000448,32.9306,-96.4356,TX,RALPH M HALL ROCKWALL MUNI AP
USW00000461,31.6411,-96.5144,TX,MEXIA LIMESTONE COUNTY AP
USW00000471,29.6342,-104.3614,TX,PRESIDIO LELY INTL AP
USW00000477,29.5292,-97.4642,TX,ROGER M DREYER MEM AP
USW00000490,66.8881,-157.1625,AK,SHUNGNAK AP
